subject,title,author,first_publish_year,edition_count,language
science,Foundation and Earth,Isaac Asimov,1986,48,ger
science,Brief Answers to the Big Questions,Stephen Hawking,2014,16,tur
science,Nemesis Games,James S. A. Corey,2015,14,eng
science,The Difference Engine,William Gibson,1990,28,ita
science,Principles of Anatomy and Physiology,Gerard J. Tortora,1975,218,ind
science,The Number of the Beast,Robert A. Heinlein,1980,19,heb
science,Shards of Honor,Lois McMaster Bujold,1986,10,eng
science,Dawn,Octavia E. Butler,1987,19,ger
science,A Modern Utopia,H. G. Wells,1900,102,cze
science,"2010, odyssey two",Arthur C. Clarke,1982,41,ita
science,The Gods of Mars,Edgar Rice Burroughs,1918,315,eng
science,三体,刘慈欣,2008,41,eng
science,The Gods Themselves,Isaac Asimov,1972,49,ita
science,Geography,Harm J. de Blij,1971,31,eng
science,Use of Weapons,Iain Banks,1990,16,fre
science,Xenocide,Orson Scott Card,1991,38,eng
science,Minority Report,Philip K. Dick,1998,14,eng
science,International Review of Cell and Molecular Biology,Kwang W. Jeon,2008,95,eng
science,Virtual light,William Gibson,1743,26,nor
science,Foundation and Empire,Isaac Asimov,1945,82,tur
science,Discrete Mathematics with Applications,Susanna S. Epp,1990,16,eng
science,Rocannon's World,Ursula K. Le Guin,1966,26,ita
science,The Science Fiction Hall of Fame -- Volume One,Robert Silverberg,1970,31,eng
science,The Ringworld throne,Larry Niven,1996,11,ger
science,A Briefer History of Time,Stephen Hawking,2005,34,spa
science,Protector,Larry Niven,1973,19,eng
science,The Chrysalids,John Wyndham,1955,37,eng
science,Abaddon’s Gate,James S. A. Corey,2013,12,eng
science,The player of games,Iain Banks,1988,23,fre
science,Bumi Manusia,Pramoedya Ananta Toer,1972,18,dut
science,Kongres futurologiczny,Stanisław Lem,1974,25,pol
science,"Works (Hitch Hiker's Guide to the Galaxy / Restaurant at the End of the Universe / Life, the Universe and Everything / So Long, and Thanks for All the Fish / Mostly Harmless / Young Zaphod Plays it Safe)",Douglas Adams,1996,10,kor
science,The Sirens of Titan,Kurt Vonnegut,1959,31,eng
science,Diaspora,Greg Egan,1997,12,eng
science,Blindsight,Peter Watts,2006,12,eng
science,The Rise of Endymion,Dan Simmons,1997,14,fre
science,The Martian,Andy Weir,2011,74,rum
science,Prelude to Foundation,Isaac Asimov,1988,43,eng
science,Defy Me (Shatter Me),Tahereh Mafi,2019,8,eng
science,On Basilisk Station,David Weber,1993,18,ger
science,Pebble in the Sky,Isaac Asimov,1950,42,ita
science,Green Mars,Kim Stanley Robinson,1993,30,ita
science,Shatter Me Complete Collection,Tahereh Mafi,2011,4,eng
science,Broken Angels,Richard K. Morgan,2003,16,eng
science,The Day of the Triffids,John Wyndham,1951,63,eng
history,Debt,David Graeber,2011,11,tur
history,The Story of Philosophy,Will Durant,1926,141,urd
history,A People's History of the United States,Howard Zinn,1980,44,chi
history,Ringkasan sejarat filsafat,K. Bertens,1975,1,eng
history,Thirty years of the Soviet state,,1947,1,eng
history,The Lessons of History,Will Durant,1968,21,per
history,Mga gunita ng himagsikan,Emilio Aguinaldo,1998,1,tgl
history,Freedom at Midnight,Dominique Lapierre,1975,48,guj
history,The Art of War,孙武 (Sun Tzu),1900,1542,por
history,The great conversation,Norman Melchert,1991,37,eng
history,Sapiens,Yuval Noah Harari,2011,86,ger
history,Capitalist Realism,Mark Fisher,2009,7,por
history,The story of art,E. H. Gombrich,1950,44,wel
history,The Age of Revolution,Eric Hobsbawm,1962,66,por
history,21 Lessons for the 21st Century,Yuval Noah Harari,2018,33,pol
history,The Rise and Fall of the Third Reich,William L. Shirer,1901,44,rus
history,Bumi Manusia,Pramoedya Ananta Toer,1972,18,dut
history,A history of the modern world,R. R. Palmer,1950,23,eng
history,Art,Frederick Hartt,1969,37,eng
history,The Unfinished Nation,Alan Brinkley,1993,49,eng
history,The Dawn of Everything,David Graeber,2021,17,ita
history,Art history,Marilyn Stokstad,1995,46,eng
history,The discovery of India,Jawaharlal Nehru,1946,44,urd
history,Letters from a father to his daughter,Jawaharlal Nehru,1930,15,pan
history,Postwar,Tony Judt,2005,18,pol
history,The Enduring Vision,Paul S. Boyer,1987,110,eng
history,A history of the English-speaking peoples,Winston S. Churchill,1950,211,eng
history,History of art,H. W. Janson,1962,48,eng
history,An echo in the darkness,Francine Rivers,1994,17,spa
history,Traditions & encounters,Jerry H. Bentley,1999,43,eng
history,A History of Western Philosophy,Bertrand Russell,1945,14,eng
history,Letters on demonology and witchcraft,Sir Walter Scott,1830,32,eng
history,A Room of One's Own,Virginia Woolf,1929,303,spa
history,"History of Egypt, Chaldea, Syria, Babylonia, And Assyria",Gaston Maspero,1901,27,eng
history,La conquête du pain,Peter Kropotkin,1892,146,ger
history,Ioannis Zonarae Annales,"Zonaras, Joannes",1841,1,mul
history,ההיסטוריה של המחר,Yuval Noah Harari,2015,35,ita
history,The Mother Tongue,Bill Bryson,1656,29,chi
history,Rizal without the overcoat,Ambeth R. Ocampo,1990,3,eng
history,The Silk Roads,Peter Frankopan,2015,16,eng
history,Der Untergang des Abendlandes,Oswald Spengler,1918,139,eng
history,History of the Filipino People,Teodoro A. Agoncillo,1969,4,eng
history,The worldly philosophers,Robert L. Heilbroner,1953,66,gre
history,A Walk in the Woods,Bill Bryson,1997,35,ger
history,Tragedy and hope,Carroll Quigley,1966,10,eng
history,History of Africa,Kevin Shillington,1989,12,eng
history,The Eagle of the Ninth. 1400 Grundwörter.,Rosemary Sutcliff,1954,33,jpn
history,Manifest der Kommunistischen Partei,Karl Marx,1848,459,cze
history,Sleep walkers,Arthur Koestler,1959,26,eng
history,The Palace of Illusions,Chitra Banerjee Divakaruni,2008,3,eng
history,Lies My Teacher Told Me,James W. Loewen,1994,29,spa
history,The Emperor of All Maladies,Siddhartha Mukherjee,2010,29,spa
history,A Distant Mirror,Barbara Tuchman,1600,46,eng
history,A Study of History,Arnold J. Toynbee,1900,119,chi
history,The Outline of History,H. G. Wells,1919,81,eng
history,Documentary sources of Philippine history,Gregorio F. Zaide,1990,1,eng
history,1776,David McCullough,2006,1,eng
history,P'ing-yang hsien chih,,1970,1,chi
history,Islam,Karen Armstrong,2000,13,eng
history,History of the Decline and Fall of the Roman Empire Complete and Unabridged,Edward Gibbon,1776,222,eng
history,What happened in history,V. Gordon Childe,1942,37,eng
history,"Guns, germs, and steel",Jared M. Diamond,1997,58,ger
history,The business world,,1912,1,eng
history,A short history of chemistry,Isaac Asimov,1965,8,eng
history,The Destruction of black civilisation,Chancellor Williams,1971,13,eng
history,History,Herodotus,1494,282,ger
history,Discovering Classical Music,Ian Christians,1991,125,eng
history,America,Mary Lynn Rampolla,1998,45,eng
history,"The influence of sea power upon history, 1660-1783",Alfred Thayer Mahan,1890,61,eng
history,The world of William Penn,Genevieve Foster,1973,4,eng
history,A history of Western architecture,David Watkin,1986,10,eng
history,A history of India,Romila Thapar,1965,8,eng
history,The Great Transformation,Karl Polanyi,1944,33,chi
history,"The Muqaddimah, an introduction to history",Ibn Khaldūn,1858,54,urd
history,"Ancient, Medieval, and Non-European Art",Helen Gardner,1980,17,eng
history,Twelve years a slave,Solomon Northup,1853,1029,tur
history,A short history of nearly everything,Bill Bryson,2003,57,srp
history,America,George Brown Tindall,1984,66,eng
history,Tragedy of Hyderabad,Mir Laik Ali,1962,1,eng
history,Siete breves lecciones de física,Carlo Rovelli,2014,13,ita
history,The Story of Civilization I,Will Durant,1935,38,heb
history,Prehispanic source materials for the study of Philippine history,William Henry Scott,1984,1,eng
history,Give Me Liberty!,Eric Foner,2004,12,eng
history,The ascent of money,Niall Ferguson,2008,17,kor
history,America,David E. Shi,2000,45,eng
history,American Odyssey,Gary B. Nash,1991,10,eng
history,After the fact,James West Davidson,1981,22,eng
history,Anak Semua Bangsa,Pramoedya Ananta Toer,1973,13,chi
history,Philippine history and government,Gregorio F. Zaide,1938,3,eng
history,La dame de Monsoreau,Alexandre Dumas,1840,130,eng
history,The Art of Seduction,Robert Greene,2001,22,eng
history,Osman's Dream,Caroline Finkel,2005,10,eng
history,Abraham Lincoln,Carl Sandburg,1926,74,eng
history,Piacenza nella storia,,1990,1,ita
history,Killers of the Flower Moon,David Grann,2017,19,spa
history,Kleine Geschichten aus Thüringen,,1991,1,ger
history,On Tyranny,Timothy Snyder,2017,21,nob
history,"Genova, Ragusa, mare =",,1993,1,ita
history,"Götter, Gräber und Gelehrte",C. W. Ceram,1949,114,ger
history,Before the Mayflower,Lerone Bennett,1960,50,eng
technology,Hello world,Hannah Fry,2018,9,eng
technology,Elon Musk,Ashlee Vance,2013,22,pol
technology,Dark Matter,Blake Crouch,2016,22,por
technology,Digital Minimalism,Cal Newport,2019,9,eng
technology,The Circle,Dave Eggers,2013,38,ger
technology,All Tomorrow's Parties,William Gibson,1999,21,spa
technology,Transactions on Engineering Technologies,Sio-Iong Ao,2013,40,eng
technology,Good to Great,Jim Collins,2001,4,eng
technology,Small Is Beautiful,E. F. Schumacher,1905,50,spa
technology,Zodiac,Neal Stephenson,1988,17,heb
technology,Crossing the Chasm,Geoffrey A. Moore,1991,21,eng
technology,Industrial Society and Its Future,Theodore Kaczynski,1995,23,ita
technology,Profiles of the future,Arthur C. Clarke,1962,20,eng
technology,The Book,Hungry Minds,2022,2,spa
technology,What technology wants,Kevin Kelly,2010,2,eng
technology,Life 3.0,Max Tegmark,2017,8,eng
technology,Operating manual for spaceship earth,R. Buckminster Fuller,1969,16,eng
technology,Inspired,Marty Cagan,2008,10,eng
technology,Red Storm Rising,Tom Clancy,1983,35,eng
technology,Techno-Feudalism,Yanis Varoufakis,2023,9,eng
technology,The Innovators,Walter Isaacson,2014,18,eng
technology,Computer Concepts and Management Information Systems,C. P. Gupta,2020,3,eng
technology,How to Do Nothing,Jenny Odell,2019,13,eng
technology,The infrared handbook,,1978,1,eng
technology,Connections,"Burke, James",1978,10,eng
technology,The nature and properties of soils,Nyle C. Brady,1974,13,eng
technology,Human Anatomy,Elaine Nicpon Marieb,1992,38,eng
technology,"CGEIT Review Manual, 8th Edition",Isaca,2020,1,eng
technology,Teaching and learning with technology,Judy Lever-Duffy,2002,18,eng
technology,The Future Is Faster Than You Think,Peter H. Diamandis,2020,5,eng
technology,Timeline,Michael Crichton,1999,64,fre
technology,Packaging design,Marianne R. Klimchuk,2006,10,eng
technology,The processes of technological innovation,Louis G. Tornatzky,1990,1,eng
technology,Introduction to Fluid Power,James L Johnson,2001,1,eng
technology,Machine design,Aaron D. Deutschman,1975,4,eng
technology,Indistractable,Nir Eyal,2019,5,eng
technology,"Science, technology, and society",Robert E. McGinn,1991,1,eng
technology,Computer Confluence,George Beekman,1997,26,eng
technology,Demon Seed,Dean Koontz,1973,26,ger
technology,Who Owns the Future?,Jaron Lanier,2013,7,eng
technology,"Post harvest technology of cereals, pulses and oilseeds",Amalendu Chakraverty,1988,2,eng
technology,Novacene,James Lovelock,2019,9,eng
technology,Rainbow six,Tom Clancy,1998,25,chi
technology,Grunch of giants,R. Buckminster Fuller,1983,4,eng
technology,"Fall; or, Dodge in Hell",Neal Stephenson,2019,9,eng
technology,Jejak pemikiran B.J. Habibie,B. J. Habibie,2010,1,ind
technology,Bad Blood,John Carreyrou,2018,19,chi
technology,Abundance,Peter H. Diamandis,2012,5,eng
technology,R.U.R. and The insect play,Karel Čapek,1920,147,spa
technology,The Technological Society,Jacques Ellul,1964,4,eng
technology,Managing engineering and technology,Lucy Morse,2006,11,eng
technology,"La era de la información, Vol. 1",Manuel Castells,1996,19,eng
technology,The Day the Universe Changed,"Burke, James",1985,10,eng
technology,Toyota Production System,Taiichi Ohno,1988,6,eng
technology,Digital Electronics,William Kleitz,1987,24,eng
technology,"Engineering Mechanics, Statics & Dynamics",R. C. Hibbeler,1974,55,eng
technology,Rise of the Robots,Martin Ford,1708,9,eng
technology,The Way Things Work,David Macaulay,1988,26,chi
technology,Synthesis/Processing of Lightweight Metallic Materials,,1996,1,eng
technology,Power hydraulics,Michael J. Pinches,1988,2,eng
technology,Ignited Minds,A. P. J. Abdul Kalam,2012,2,eng
technology,The Right Stuff,Tom Wolfe,1979,32,spa
technology,The Knowledge,Lewis Dartnell,2014,9,spa
technology,Technopoly,Neil Postman,1992,5,heb
technology,Building a Second Brain,Tiago Forte,2022,8,eng
technology,The Gutenberg Galaxy,Marshall McLuhan,1962,27,hun
technology,Soonish,Kelly Weinersmith,2017,5,eng
technology,Scientific and technical translation explained,Jody Byrne,2012,7,eng
technology,Book of CODESYS,Gary Pratt,2021,1,eng
technology,Inviting Disaster,James R. Chiles,2001,12,eng
technology,The fourth industrial revolution,Klaus Schwab,2017,1,eng
technology,ICT,Chris Abbott,2000,6,eng
technology,In the Beginning...Was the Command Line,Neal Stephenson,1999,10,ger
technology,Masters of Doom,David Kushner,2003,9,eng
technology,Soil mechanics,R. F. Craig,1978,15,eng
technology,Fluid mechanics,Pijush K. Kundu,1990,14,eng
technology,The real world of technology,Ursula M. Franklin,1990,3,eng
technology,Wastewater treatment plants,Syed R. Qasim,1985,10,eng
technology,Engines that move markets,Alasdair G. M. Nairn,2002,1,eng
technology,Networking for dummies,Doug Lowe,1994,9,eng
technology,Democratizing innovation,Eric von Hippel,2005,6,eng
technology,Only the paranoid survive,Andrew S. Grove,1996,4,eng
technology,Understanding automotive electronics,William B. Ribbens,1982,12,spa
technology,Stellar origins human ways,Genejane M. Adarlo,2011,1,eng
technology,Extreme Privacy,Michael Bazzell,2019,5,eng
technology,"ITIL Foundation, ITIL",The Stationery Office,2020,1,
technology,You are not a gadget,Jaron Lanier,2010,4,eng
technology,Sensory evaluation techniques,Morten Meilgaard,1987,23,eng
technology,Design Is a Job,Mike Monteiro,2012,1,eng
technology,Mixing Engineer's Handbook - 5th Edition,Bobby Owsinski,2022,8,eng
technology,Plastics materials,J. A. Brydson,1966,13,eng
technology,Introduction to electric circuits,Herbert W. Jackson,1959,25,eng
technology,Digital electronics,James Bignell,1985,6,eng
technology,ההיסטוריה של המחר,Yuval Noah Harari,2015,35,eng
technology,Information Technology for Management,Efraim Turban,2002,29,eng
technology,Fluid power with applications,Anthony Esposito,1980,8,eng
technology,Engineering tribology,G. W. Stachowiak,1993,11,eng
technology,Medical laboratory technology,Matthew J. Lynch,1963,4,eng
technology,The existential pleasures of engineering,Samuel C. Florman,1975,10,eng
technology,Modern Engineering Mathematics,Glyn James,1920,12,eng
